id,value,feed_id,created_at,lat,lon,ele
0FW00S8CVF2DQE66BY7MHW7F40,75.498047,3063144,2025-04-24 06:49:18 UTC,,,
0FW00SA066PRRDBJM49JF05QTJ,75.585938,3063144,2025-04-24 06:49:23 UTC,,,
0FW00SBMPQH7FK7WSETP6HDSCY,75.498047,3063144,2025-04-24 06:49:28 UTC,,,
0FW00SD825C6APZK14CAHFT60B,75.585938,3063144,2025-04-24 06:49:33 UTC,,,
0FW00SEYN0FHPA6X6ATT5R03SH,75.498047,3063144,2025-04-24 06:49:39 UTC,,,
0FW00SGMSS4QTVYT2PM2RSBCA7,75.454102,3063144,2025-04-24 06:49:45 UTC,,,
0FW00SJ984Z919HJFQN3SJSST2,75.454102,3063144,2025-04-24 06:49:50 UTC,,,
0FW00SKWPWMHB2MC5NFZ6MCGPC,75.322266,3063144,2025-04-24 06:49:55 UTC,,,
0FW00SNGPBXY9RA47XK97P5SB1,75.278320,3063144,2025-04-24 06:50:01 UTC,,,
0FW00SQ4NWDSSCHKAC9AEREET9,75.234375,3063144,2025-04-24 06:50:06 UTC,,,
0FW00SRTRZ5E03KE5XH45S1RRZ,75.234375,3063144,2025-04-24 06:50:11 UTC,,,
0FW00STDZAF92P886TXXFB6N5T,75.190430,3063144,2025-04-24 06:50:17 UTC,,,
0FW00SW2P8Q4TQW7TJ7D10G1FN,75.234375,3063144,2025-04-24 06:50:22 UTC,,,
0FW00SXRQMC8BQCE8FPE8BZ6K0,75.190430,3063144,2025-04-24 06:50:28 UTC,,,
0FW00SZBX50WHTT2N20A43S2ED,75.102539,3063144,2025-04-24 06:50:33 UTC,,,
0FW00T10P7A62KAG4PE8A0P83K,75.234375,3063144,2025-04-24 06:50:38 UTC,,,
0FW00T2MQD2NW06CCYA74P1MN9,75.190430,3063144,2025-04-24 06:50:44 UTC,,,
0FW00T48QDTXBK6V8R5CK4SQ0V,75.102539,3063144,2025-04-24 06:50:49 UTC,,,
0FW00T5WP6HY4N501FKCT7S1MV,75.234375,3063144,2025-04-24 06:50:54 UTC,,,
0FW00T7GQY19NJ98FK2XGK7CD9,75.366211,3063144,2025-04-24 06:51:00 UTC,,,
0FW00T96KTXWKF4BTMYG5CW08J,75.410156,3063144,2025-04-24 06:51:05 UTC,,,
0FW00TAV92J0QSP6SAGSTDQEFS,75.585938,3063144,2025-04-24 06:51:10 UTC,,,
0FW00TCEQH5DHM6PRJS2BZZ7VX,75.673828,3063144,2025-04-24 06:51:16 UTC,,,
0FW00TE2PCKG168DDZTHBP8FRR,75.673828,3063144,2025-04-24 06:51:21 UTC,,,
0FW00TFPPXRPD70ZNH6QMBNACK,75.761719,3063144,2025-04-24 06:51:26 UTC,,,
0FW00THANK97F83F48XDAZYN9S,75.673828,3063144,2025-04-24 06:51:32 UTC,,,
0FW00TJYQ6XF00JAV6HCTD3SHV,75.717773,3063144,2025-04-24 06:51:37 UTC,,,
0FW00TMJ0Z0W7DF678K0K81FGK,75.717773,3063144,2025-04-24 06:51:42 UTC,,,
0FW00TP6R4DPRMJNMG4CJRG510,75.761719,3063144,2025-04-24 06:51:48 UTC,,,
0FW00TQTQWZ98ST2SJVGZ1ZECW,75.937500,3063144,2025-04-24 06:51:53 UTC,,,
0FW00TSE30TXC5AW8HW0R4Y22P,76.069336,3063144,2025-04-24 06:51:58 UTC,,,
0FW00TV2PDVR24N824VWQAQT6M,75.981445,3063144,2025-04-24 06:52:04 UTC,,,
0FW00TWQ8PJ7Z9QHA72YTPK5PX,76.201172,3063144,2025-04-24 06:52:09 UTC,,,
0FW00TYAQS7FBTQRN91A5X6231,76.289062,3063144,2025-04-24 06:52:14 UTC,,,
0FW00V00PRC4JKYSDWHAMGB7A2,76.333008,3063144,2025-04-24 06:52:20 UTC,,,
0FW00V1MNV7HYDXE56FW9G9NY6,76.201172,3063144,2025-04-24 06:52:25 UTC,,,
0FW00V38PX9RJF85WEMS9NV3JH,76.113281,3063144,2025-04-24 06:52:30 UTC,,,
0FW00V4VWG264042B0C7DV90TN,76.069336,3063144,2025-04-24 06:52:36 UTC,,,
0FW00V6F77K2FZCPYGZDMKZW81,75.981445,3063144,2025-04-24 06:52:41 UTC,,,
0FW00V82P442D4DRQH9S5BSSMW,76.025391,3063144,2025-04-24 06:52:46 UTC,,,
0FW00V9PR9EMHWBMCMXP5JEHTQ,76.069336,3063144,2025-04-24 06:52:52 UTC,,,
0FW00VB9YZXRS7BTMJ550ZFDWH,76.025391,3063144,2025-04-24 06:52:57 UTC,,,
0FW00VCX7KTW24NTCJP6S37HGC,75.937500,3063144,2025-04-24 06:53:02 UTC,,,
0FW00VEGQ9R661YZX88R9MWPFE,75.717773,3063144,2025-04-24 06:53:07 UTC,,,
0FW00VG4QW69JJS2SHKKJEE7Q0,75.761719,3063144,2025-04-24 06:53:13 UTC,,,
0FW00VHTN13JF2AH8EGCK3RE0S,75.629883,3063144,2025-04-24 06:53:18 UTC,,,
0FW00VKJR0TBBPE8NHFD0CTD19,75.585938,3063144,2025-04-24 06:53:24 UTC,,,
0FW00VN6PT8B6X8SEQH08291W3,75.541992,3063144,2025-04-24 06:53:29 UTC,,,
0FW00VPTPA8AKG360FPQ8HHVE6,75.498047,3063144,2025-04-24 06:53:35 UTC,,,
0FW00VRGQQ559FJFX972C6AYPE,75.498047,3063144,2025-04-24 06:53:40 UTC,,,
0FW00VT6NJRRPJFZM0ZZ6Q73HE,75.498047,3063144,2025-04-24 06:53:46 UTC,,,
0FW00VVTP46HXR6RJFY068NK61,75.366211,3063144,2025-04-24 06:53:51 UTC,,,
0FW00VXERM7S6JBTH7G5QG7E8E,75.366211,3063144,2025-04-24 06:53:56 UTC,,,
0FW00VZ1ZQ32BBW7CKJVKF1K6N,75.278320,3063144,2025-04-24 06:54:02 UTC,,,
0FW00W0PQQM01TV4MZDFXFYG05,75.278320,3063144,2025-04-24 06:54:07 UTC,,,
0FW00W2APPT2VDATENDDNA7G6Z,75.234375,3063144,2025-04-24 06:54:12 UTC,,,
0FW00W3YNBVZEM7T34DBQ1H2YY,75.322266,3063144,2025-04-24 06:54:18 UTC,,,
0FW00W5JNPN77F1CA1E4FN53T3,75.190430,3063144,2025-04-24 06:54:23 UTC,,,
0FW00W75WVXKACTA34TWGG3KKC,75.234375,3063144,2025-04-24 06:54:28 UTC,,,
0FW00W8TP8YX69G16SK4RE18HN,75.278320,3063144,2025-04-24 06:54:34 UTC,,,
0FW00WAEPGXQ035SMD4VYN1H5V,75.234375,3063144,2025-04-24 06:54:39 UTC,,,
0FW00WC1XSYNJ2B4KDMHT29C2T,75.190430,3063144,2025-04-24 06:54:44 UTC,,,
0FW00WDPQ49RQYZYDXSJZ7C221,75.322266,3063144,2025-04-24 06:54:50 UTC,,,
0FW00WFCPZ4M8VKCQ5VQ672SX5,75.322266,3063144,2025-04-24 06:54:55 UTC,,,
0FW00WH0Q3RSC3N41WXDJKVXKN,75.366211,3063144,2025-04-24 06:55:00 UTC,,,
0FW00WJMPMFRXFJ4TXK1QE9ANC,75.454102,3063144,2025-04-24 06:55:06 UTC,,,
0FW00WM8P7384D4QV4FFG1W737,75.454102,3063144,2025-04-24 06:55:11 UTC,,,
0FW00WNVZAD5TCV55FGC6T4HX9,75.454102,3063144,2025-04-24 06:55:16 UTC,,,
0FW00WQJQPK774GPS4GZXQJKFA,75.937500,3063144,2025-04-24 06:55:22 UTC,,,
0FW00WS7ZMYQJRMC7TD8KZEFKR,75.893555,3063144,2025-04-24 06:55:27 UTC,,,
0FW00WTYP0ZTSEMK492Q2D8T0V,75.805664,3063144,2025-04-24 06:55:33 UTC,,,
0FW00WWHXBWAX1R9D5PWZBAFHJ,75.673828,3063144,2025-04-24 06:55:38 UTC,,,
0FW00WY6P1N2Y85E99NJ0Y3QS4,75.541992,3063144,2025-04-24 06:55:44 UTC,,,
0FW00WZTP9SEFRYM2N93DYJNBW,75.498047,3063144,2025-04-24 06:55:49 UTC,,,
0FW00X1ES0PWZ4CTWKF70MDMZ9,75.454102,3063144,2025-04-24 06:55:54 UTC,,,
0FW00X320ZYH7ZT3KPHK06VNAE,75.410156,3063144,2025-04-24 06:56:00 UTC,,,
0FW00X4Q718HWVTEAPBTSGS53X,75.322266,3063144,2025-04-24 06:56:05 UTC,,,
0FW00X6ANF3G97M0ZVG2W4YMTK,75.366211,3063144,2025-04-24 06:56:10 UTC,,,
0FW00X7XYF65ZDDZN4HK0H3MTJ,75.278320,3063144,2025-04-24 06:56:15 UTC,,,
0FW00X9MP1CG5W9KXY7HWT1WD0,75.322266,3063144,2025-04-24 06:56:21 UTC,,,
0FW00XB98PPZZQAPWZQEE0W6W6,75.278320,3063144,2025-04-24 06:56:26 UTC,,,
0FW00XCX7DP3N0VH6AV4MV4RS5,75.322266,3063144,2025-04-24 06:56:32 UTC,,,
0FW00XEGQK23NCH99GTTFT09KA,75.278320,3063144,2025-04-24 06:56:37 UTC,,,
0FW00XG6P5R5W2WS8K3TW7JVSB,75.366211,3063144,2025-04-24 06:56:43 UTC,,,
0FW00XHTQJSY1FD93D8AK4MV1J,75.322266,3063144,2025-04-24 06:56:48 UTC,,,
0FW00XKE0MW5BNW14XY0PEE0N9,75.278320,3063144,2025-04-24 06:56:53 UTC,,,
0FW00XN19DV938FPGFFZVBWWHJ,75.366211,3063144,2025-04-24 06:56:58 UTC,,,
0FW00XPPQF6KJ429FBFCRYKYVF,75.410156,3063144,2025-04-24 06:57:04 UTC,,,
0FW00XRCPT9CTGJTGXVM924RAN,75.322266,3063144,2025-04-24 06:57:09 UTC,,,
0FW00XT0Q94PJC7WPP4JK3ACY7,75.278320,3063144,2025-04-24 06:57:15 UTC,,,
0FW00XVPPKEEJYE4DX9XNJ77D6,75.322266,3063144,2025-04-24 06:57:20 UTC,,,
0FW00XXCQ79X5TMRX5FH7T8FE5,75.234375,3063144,2025-04-24 06:57:26 UTC,,,
0FW00XZ0PVGE6868WZCAMQJ87S,75.322266,3063144,2025-04-24 06:57:31 UTC,,,
0FW00Y0KWTQ96A7SXBW1RD65DN,75.234375,3063144,2025-04-24 06:57:36 UTC,,,
0FW00Y28PV6F85HFXC7QPRBERH,75.366211,3063144,2025-04-24 06:57:42 UTC,,,
0FW16B8A1TRBXFETV1B824YA7H,78.662109,3063144,2025-04-25 17:49:56 UTC,,,
0FW16B9XDRW47Y3AKNY25NCWQ9,78.618164,3063144,2025-04-25 17:50:01 UTC,,,
0FW16BBHXF65PJJTX47TG43098,78.706055,3063144,2025-04-25 17:50:07 UTC,,,
0FW16BD5606HT2B38DKKYFV57B,78.574219,3063144,2025-04-25 17:50:12 UTC,,,
0FW16BESWPPJRMSVTKQJ6R4YW8,78.530273,3063144,2025-04-25 17:50:17 UTC,,,
0FW16BGHXPRYNZK0NFM1S17X1Z,78.662109,3063144,2025-04-25 17:50:23 UTC,,,
0FW16BJ9TPK3CQ6ZRJEWFHBVN8,78.618164,3063144,2025-04-25 17:50:29 UTC,,,
0FW16BM3ADWZN4NT75QEJFPZGN,78.618164,3063144,2025-04-25 17:50:35 UTC,,,
0FW16BNQX78QEH5R34QDCNXJCG,78.618164,3063144,2025-04-25 17:50:40 UTC,,,
0FW16BQBWCYYZ47JZ0W4YHHG7H,78.574219,3063144,2025-04-25 17:50:45 UTC,,,
0FW16BS1XNSAV95HPS6P5JY4WP,78.618164,3063144,2025-04-25 17:50:51 UTC,,,
0FW16BTNY434CE4J8W7BWK6RHT,78.486328,3063144,2025-04-25 17:50:56 UTC,,,
